Employee Name,Manager Name,Email,Date of Hire,Store,Shift Start,Shift End,Station,Hourly Pay Rate
"Jessica, Ms.","Hoffman, Tina",ms..jessica@abcfoodmart.com,6/10/2022,ABC Foodmart - DUMBO,10/11/2022 0:00,10/11/2022 0:00,deli,12.19
"Conrad, Frederick","Cooper, Robert",frederick.conrad@abcfoodmart.com,11/24/2023,ABC Foodmart - Bay Ridge,9/23/2024 0:00,9/23/2024 0:00,dry goods,14.42
"Blanchard, Ricky","Ellis, Grant",ricky.blanchard@abcfoodmart.com,5/23/2023,ABC Foodmart - Tribeca,8/18/2023 0:00,8/18/2023 0:00,cashier,13.11
"Johnson, Samantha","Ellis, Grant",samantha.johnson@abcfoodmart.com,1/16/2023,ABC Foodmart - Tribeca,8/21/2023 0:00,8/21/2023 0:00,dairy,15.67
"Moore, Jason","Cooper, Robert",jason.moore@abcfoodmart.com,7/11/2023,ABC Foodmart - Bay Ridge,12/19/2023 0:00,12/19/2023 0:00,fresh produce,18.54
"Wood, Joshua","Farrell, Christopher",joshua.wood@abcfoodmart.com,11/26/2022,ABC Foodmart - Staten Island,8/15/2023 0:00,8/15/2023 0:00,customer service,18.55
"Gross, Andrew","Flores, Angela",andrew.gross@abcfoodmart.com,4/30/2022,ABC Foodmart - Whitestone,11/1/2022 0:00,11/1/2022 0:00,frozen foods,18.63
"Shah, Amanda","Farrell, Christopher",amanda.shah@abcfoodmart.com,10/7/2023,ABC Foodmart - Staten Island,3/9/2024 0:00,3/9/2024 0:00,deli,12.08
"Thompson, Andrea","Flores, Angela",andrea.thompson@abcfoodmart.com,1/6/2023,ABC Foodmart - Whitestone,4/1/2023 0:00,4/1/2023 0:00,pharmacy,16.06
"Nichols, Mitchell","Hoffman, Tina",mitchell.nichols@abcfoodmart.com,9/30/2022,ABC Foodmart - DUMBO,2/23/2023 0:00,2/23/2023 0:00,seafood,12.64
"Bryan, Mr.","Cooper, Robert",mr..bryan@abcfoodmart.com,8/26/2023,ABC Foodmart - Bay Ridge,4/15/2024 0:00,4/15/2024 0:00,meats,18.27
"Payne, Samantha","Flores, Angela",samantha.payne@abcfoodmart.com,4/6/2024,ABC Foodmart - Whitestone,12/13/2024 0:00,12/13/2024 0:00,cashier,12.39
"Wilson, Jill","Cooper, Robert",jill.wilson@abcfoodmart.com,12/6/2022,ABC Foodmart - Bay Ridge,8/11/2023 0:00,8/11/2023 0:00,pharmacy,14.66
"Colon, Lindsey","Ellis, Grant",lindsey.colon@abcfoodmart.com,2/16/2023,ABC Foodmart - Tribeca,9/18/2023 0:00,9/18/2023 0:00,frozen foods,16.71
"White, Kenneth","Ellis, Grant",kenneth.white@abcfoodmart.com,1/22/2023,ABC Foodmart - Tribeca,11/9/2023 0:00,11/9/2023 0:00,bakery,14.53
"Jackson, Gary","Ellis, Grant",gary.jackson@abcfoodmart.com,9/8/2022,ABC Foodmart - Tribeca,11/10/2022 0:00,11/10/2022 0:00,bakery,15.14
"Payne, Samantha","Cooper, Robert",samantha.payne@abcfoodmart.com,4/6/2024,ABC Foodmart - Bay Ridge,12/23/2024 0:00,12/23/2024 0:00,dry goods,13.93
"Horton, Ashley","Cooper, Robert",ashley.horton@abcfoodmart.com,1/24/2024,ABC Foodmart - Bay Ridge,7/9/2024 0:00,7/9/2024 0:00,dry goods,13.35
"Warren, Timothy","Cooper, Robert",timothy.warren@abcfoodmart.com,12/27/2022,ABC Foodmart - Bay Ridge,7/24/2023 0:00,7/24/2023 0:00,meats,19.83
"Warren, Timothy","Flores, Angela",timothy.warren@abcfoodmart.com,12/27/2022,ABC Foodmart - Whitestone,8/16/2023 0:00,8/16/2023 0:00,pharmacy,12.32
"Randolph, Emily","Ellis, Grant",emily.randolph@abcfoodmart.com,3/9/2023,ABC Foodmart - Tribeca,10/8/2023 0:00,10/8/2023 0:00,dairy,17.79
"Wells, Monica","Flores, Angela",monica.wells@abcfoodmart.com,3/12/2024,ABC Foodmart - Whitestone,7/8/2024 0:00,7/8/2024 0:00,pharmacy,19.86
"Bennett, Alec","Ellis, Grant",alec.bennett@abcfoodmart.com,10/3/2023,ABC Foodmart - Tribeca,1/21/2024 0:00,1/21/2024 0:00,meats,14.27
"Bennett, Alec","Farrell, Christopher",alec.bennett@abcfoodmart.com,10/3/2023,ABC Foodmart - Staten Island,1/27/2024 0:00,1/27/2024 0:00,dairy,13.82
"White, Kenneth","Hoffman, Tina",kenneth.white@abcfoodmart.com,1/22/2023,ABC Foodmart - DUMBO,11/28/2023 0:00,11/28/2023 0:00,floral,14.47
"Jones, Evelyn","Farrell, Christopher",evelyn.jones@abcfoodmart.com,2/25/2024,ABC Foodmart - Staten Island,9/4/2024 0:00,9/4/2024 0:00,pharmacy,17.19
"Sosa, David","Ellis, Grant",david.sosa@abcfoodmart.com,7/27/2023,ABC Foodmart - Tribeca,1/1/2024 0:00,1/1/2024 0:00,fresh produce,24.03
"Nichols, Brandon","Ellis, Grant",brandon.nichols@abcfoodmart.com,2/28/2024,ABC Foodmart - Tribeca,9/7/2024 0:00,9/7/2024 0:00,customer service,12.19
"Thomas, Robert","Cooper, Robert",robert.thomas@abcfoodmart.com,5/18/2022,ABC Foodmart - Bay Ridge,11/3/2022 0:00,11/3/2022 0:00,seafood,15.29
"Durham, Denise","Hoffman, Tina",denise.durham@abcfoodmart.com,10/24/2022,ABC Foodmart - DUMBO,4/25/2023 0:00,4/25/2023 0:00,floral,14.34
"Davis, Jennifer","Flores, Angela",jennifer.davis@abcfoodmart.com,11/3/2023,ABC Foodmart - Whitestone,7/10/2024 0:00,7/10/2024 0:00,bakery,16.67
"Horton, Ashley","Flores, Angela",ashley.horton@abcfoodmart.com,1/24/2024,ABC Foodmart - Whitestone,7/27/2024 0:00,7/27/2024 0:00,pharmacy,12.78
"Walters, Jay","Farrell, Christopher",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Staten Island,9/30/2024 0:00,9/30/2024 0:00,frozen foods,13.71
"Church, Joshua","Flores, Angela",joshua.church@abcfoodmart.com,3/3/2024,ABC Foodmart - Whitestone,9/26/2024 0:00,9/26/2024 0:00,dairy,12.68
"Hayes, Brandon","Farrell, Christopher",brandon.hayes@abcfoodmart.com,9/28/2022,ABC Foodmart - Staten Island,1/14/2023 0:00,1/14/2023 0:00,frozen foods,14.8
"Mckinney, Marcus","Hoffman, Tina",marcus.mckinney@abcfoodmart.com,8/14/2022,ABC Foodmart - DUMBO,5/19/2023 0:00,5/19/2023 0:00,cashier,12.45
"Sean, Mr.","Farrell, Christopher",mr..sean@abcfoodmart.com,3/25/2023,ABC Foodmart - Staten Island,9/15/2023 0:00,9/15/2023 0:00,customer service,18.41
"Jones, Christopher","Ellis, Grant",christopher.jones@abcfoodmart.com,5/19/2022,ABC Foodmart - Tribeca,12/21/2022 0:00,12/21/2022 0:00,frozen foods,13.74
"Foster, Jennifer","Farrell, Christopher",jennifer.foster@abcfoodmart.com,6/15/2023,ABC Foodmart - Staten Island,2/24/2024 0:00,2/24/2024 0:00,floral,16.47
"Golden, Laurie","Ellis, Grant",laurie.golden@abcfoodmart.com,12/23/2023,ABC Foodmart - Tribeca,4/7/2024 0:00,4/7/2024 0:00,dairy,13.57
"Horton, Ashley","Flores, Angela",ashley.horton@abcfoodmart.com,1/24/2024,ABC Foodmart - Whitestone,8/5/2024 0:00,8/5/2024 0:00,dry goods,17.52
"Wells, Monica","Farrell, Christopher",monica.wells@abcfoodmart.com,3/12/2024,ABC Foodmart - Staten Island,7/14/2024 0:00,7/14/2024 0:00,fresh produce,17.93
"Torres, Steven","Ellis, Grant",steven.torres@abcfoodmart.com,5/10/2023,ABC Foodmart - Tribeca,8/25/2023 0:00,8/25/2023 0:00,seafood,15.53
"Kramer, Veronica","Ellis, Grant",veronica.kramer@abcfoodmart.com,3/28/2023,ABC Foodmart - Tribeca,9/4/2023 0:00,9/4/2023 0:00,floral,19.43
"Woods, Marcus","Cooper, Robert",marcus.woods@abcfoodmart.com,4/1/2024,ABC Foodmart - Bay Ridge,7/29/2024 0:00,7/29/2024 0:00,deli,12.04
"Warren, Timothy","Farrell, Christopher",timothy.warren@abcfoodmart.com,12/27/2022,ABC Foodmart - Staten Island,8/17/2023 0:00,8/17/2023 0:00,dairy,19.9
"Marquez, Jeffrey","Ellis, Grant",jeffrey.marquez@abcfoodmart.com,2/19/2023,ABC Foodmart - Tribeca,8/17/2023 0:00,8/17/2023 0:00,frozen foods,16.37
"Hernandez, Michael","Hoffman, Tina",michael.hernandez@abcfoodmart.com,5/24/2022,ABC Foodmart - DUMBO,3/1/2023 0:00,3/1/2023 0:00,meats,14.69
"Vasquez, Peter","Ellis, Grant",peter.vasquez@abcfoodmart.com,1/5/2023,ABC Foodmart - Tribeca,5/24/2023 0:00,5/24/2023 0:00,customer service,18.74
"Spears, Erin","Flores, Angela",erin.spears@abcfoodmart.com,7/30/2023,ABC Foodmart - Whitestone,3/14/2024 0:00,3/14/2024 0:00,customer service,18.21
"Kramer, Veronica","Cooper, Robert",veronica.kramer@abcfoodmart.com,3/28/2023,ABC Foodmart - Bay Ridge,9/24/2023 0:00,9/24/2023 0:00,dry goods,14.21
"White, Kenneth","Flores, Angela",kenneth.white@abcfoodmart.com,1/22/2023,ABC Foodmart - Whitestone,12/9/2023 0:00,12/9/2023 0:00,frozen foods,13.79
"Hernandez, Michael","Farrell, Christopher",michael.hernandez@abcfoodmart.com,5/24/2022,ABC Foodmart - Staten Island,3/25/2023 0:00,3/25/2023 0:00,dry goods,20
"Thompson, Andrea","Flores, Angela",andrea.thompson@abcfoodmart.com,1/6/2023,ABC Foodmart - Whitestone,4/21/2023 0:00,4/21/2023 0:00,bakery,18.63
"Hughes, Christopher","Flores, Angela",christopher.hughes@abcfoodmart.com,9/1/2022,ABC Foodmart - Whitestone,4/6/2023 0:00,4/6/2023 0:00,dairy,17.15
"Nichols, Brandon","Flores, Angela",brandon.nichols@abcfoodmart.com,2/28/2024,ABC Foodmart - Whitestone,9/11/2024 0:00,9/11/2024 0:00,floral,18.4
"Shah, Amanda","Cooper, Robert",amanda.shah@abcfoodmart.com,10/7/2023,ABC Foodmart - Bay Ridge,3/29/2024 0:00,3/29/2024 0:00,dry goods,12.21
"Wilson, Jill","Ellis, Grant",jill.wilson@abcfoodmart.com,12/6/2022,ABC Foodmart - Tribeca,8/25/2023 0:00,8/25/2023 0:00,fresh produce,14.68
"Terri, Mrs.","Cooper, Robert",mrs..terri@abcfoodmart.com,9/23/2022,ABC Foodmart - Bay Ridge,7/1/2023 0:00,7/1/2023 0:00,seafood,14.66
"Rogers, Mark","Cooper, Robert",mark.rogers@abcfoodmart.com,5/8/2023,ABC Foodmart - Bay Ridge,9/24/2023 0:00,9/24/2023 0:00,seafood,19.96
"Randolph, Emily","Hoffman, Tina",emily.randolph@abcfoodmart.com,3/9/2023,ABC Foodmart - DUMBO,10/22/2023 0:00,10/22/2023 0:00,pharmacy,15.23
"Conrad, Frederick","Cooper, Robert",frederick.conrad@abcfoodmart.com,11/24/2023,ABC Foodmart - Bay Ridge,10/16/2024 0:00,10/16/2024 0:00,bakery,13.59
"Spears, Erin","Farrell, Christopher",erin.spears@abcfoodmart.com,7/30/2023,ABC Foodmart - Staten Island,3/25/2024 0:00,3/25/2024 0:00,dry goods,18.29
"Martin, Monica","Farrell, Christopher",monica.martin@abcfoodmart.com,11/23/2023,ABC Foodmart - Staten Island,5/25/2024 0:00,5/25/2024 0:00,dairy,18.92
"Kerr, Jason","Flores, Angela",jason.kerr@abcfoodmart.com,11/21/2022,ABC Foodmart - Whitestone,5/21/2023 0:00,5/21/2023 0:00,pharmacy,17.23
"Wilson, Jill","Hoffman, Tina",jill.wilson@abcfoodmart.com,12/6/2022,ABC Foodmart - DUMBO,9/13/2023 0:00,9/13/2023 0:00,dairy,16.41
"Walters, Jay","Flores, Angela",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Whitestone,10/16/2024 0:00,10/16/2024 0:00,deli,15.5
"Galvan, Lori","Ellis, Grant",lori.galvan@abcfoodmart.com,5/24/2022,ABC Foodmart - Tribeca,9/14/2022 0:00,9/14/2022 0:00,fresh produce,17.63
"Wood, Joshua","Flores, Angela",joshua.wood@abcfoodmart.com,11/26/2022,ABC Foodmart - Whitestone,8/20/2023 0:00,8/20/2023 0:00,cashier,14.97
"Ellis, Lauren","Flores, Angela",lauren.ellis@abcfoodmart.com,10/22/2022,ABC Foodmart - Whitestone,4/8/2023 0:00,4/8/2023 0:00,dairy,14.12
"Jones, Christopher","Cooper, Robert",christopher.jones@abcfoodmart.com,5/19/2022,ABC Foodmart - Bay Ridge,1/4/2023 0:00,1/4/2023 0:00,customer service,15.11
"Mckinney, Marcus","Cooper, Robert",marcus.mckinney@abcfoodmart.com,8/14/2022,ABC Foodmart - Bay Ridge,5/27/2023 0:00,5/27/2023 0:00,cashier,18.51
"Sosa, David","Hoffman, Tina",david.sosa@abcfoodmart.com,7/27/2023,ABC Foodmart - DUMBO,1/20/2024 0:00,1/20/2024 0:00,dry goods,19.1
"Thomas, Robert","Hoffman, Tina",robert.thomas@abcfoodmart.com,5/18/2022,ABC Foodmart - DUMBO,11/24/2022 0:00,11/24/2022 0:00,dry goods,14.13
"Harrell, Angie","Hoffman, Tina",angie.harrell@abcfoodmart.com,6/1/2023,ABC Foodmart - DUMBO,1/22/2024 0:00,1/22/2024 0:00,pharmacy,19.36
"Chambers, Jeffrey","Ellis, Grant",jeffrey.chambers@abcfoodmart.com,9/29/2022,ABC Foodmart - Tribeca,2/21/2023 0:00,2/21/2023 0:00,customer service,13.86
"Walters, Jay","Farrell, Christopher",jay.walters@abcfoodmart.com,12/17/2023,ABC Foodmart - Staten Island,10/21/2024 0:00,10/21/2024 0:00,frozen foods,18.22
"Foster, Kenneth","Flores, Angela",kenneth.foster@abcfoodmart.com,4/23/2023,ABC Foodmart - Whitestone,11/12/2023 0:00,11/12/2023 0:00,seafood,19.6
"Day, Natasha","Cooper, Robert",natasha.day@abcfoodmart.com,8/2/2023,ABC Foodmart - Bay Ridge,11/22/2023 0:00,11/22/2023 0:00,floral,15.73
"Alvarez, Brenda","Cooper, Robert",brenda.alvarez@abcfoodmart.com,11/16/2023,ABC Foodmart - Bay Ridge,6/11/2024 0:00,6/11/2024 0:00,dairy,13.91
"Shah, Amanda","Ellis, Grant",amanda.shah@abcfoodmart.com,10/7/2023,ABC Foodmart - Tribeca,4/16/2024 0:00,4/16/2024 0:00,dairy,12.87
"Hernandez, Michael","Flores, Angela",michael.hernandez@abcfoodmart.com,5/24/2022,ABC Foodmart - Whitestone,4/7/2023 0:00,4/7/2023 0:00,customer service,17.42
"Perry, Andrea","Hoffman, Tina",andrea.perry@abcfoodmart.com,5/5/2023,ABC Foodmart - DUMBO,1/24/2024 0:00,1/24/2024 0:00,dry goods,12.28
"Alvarez, Brenda","Flores, Angela",brenda.alvarez@abcfoodmart.com,11/16/2023,ABC Foodmart - Whitestone,6/22/2024 0:00,6/22/2024 0:00,dairy,12.28
"Nguyen, Richard","Hoffman, Tina",richard.nguyen@abcfoodmart.com,9/27/2022,ABC Foodmart - DUMBO,4/8/2023 0:00,4/8/2023 0:00,fresh produce,18.92
"Bryan, Mr.","Hoffman, Tina",mr..bryan@abcfoodmart.com,8/26/2023,ABC Foodmart - DUMBO,4/20/2024 0:00,4/20/2024 0:00,fresh produce,18.79
"Mckinney, Marcus","Farrell, Christopher",marcus.mckinney@abcfoodmart.com,8/14/2022,ABC Foodmart - Staten Island,6/21/2023 0:00,6/21/2023 0:00,bakery,13.87
"Rogers, Mark","Cooper, Robert",mark.rogers@abcfoodmart.com,5/8/2023,ABC Foodmart - Bay Ridge,9/30/2023 0:00,9/30/2023 0:00,fresh produce,16.9
"Riley, Ashley","Cooper, Robert",ashley.riley@abcfoodmart.com,8/17/2022,ABC Foodmart - Bay Ridge,4/13/2023 0:00,4/13/2023 0:00,fresh produce,16.59
"Perry, Andrea","Hoffman, Tina",andrea.perry@abcfoodmart.com,5/5/2023,ABC Foodmart - DUMBO,2/12/2024 0:00,2/12/2024 0:00,deli,17.11
"Thompson, Matthew","Ellis, Grant",matthew.thompson@abcfoodmart.com,4/22/2022,ABC Foodmart - Tribeca,8/23/2022 0:00,8/23/2022 0:00,cashier,19.08
"Jones, Christopher","Hoffman, Tina",christopher.jones@abcfoodmart.com,5/19/2022,ABC Foodmart - DUMBO,1/9/2023 0:00,1/9/2023 0:00,dairy,16.88
"Johnson, Samantha","Flores, Angela",samantha.johnson@abcfoodmart.com,1/16/2023,ABC Foodmart - Whitestone,9/4/2023 0:00,9/4/2023 0:00,meats,16.04
"Carroll, Eric","Flores, Angela",eric.carroll@abcfoodmart.com,12/26/2022,ABC Foodmart - Whitestone,10/12/2023 0:00,10/12/2023 0:00,customer service,16.11
"Mckinney, Marcus","Ellis, Grant",marcus.mckinney@abcfoodmart.com,8/14/2022,ABC Foodmart - Tribeca,6/26/2023 0:00,6/26/2023 0:00,cashier,17.12
"Thompson, Matthew","Ellis, Grant",matthew.thompson@abcfoodmart.com,4/22/2022,ABC Foodmart - Tribeca,9/2/2022 0:00,9/2/2022 0:00,pharmacy,17.65
"Rogers, Mark","Ellis, Grant",mark.rogers@abcfoodmart.com,5/8/2023,ABC Foodmart - Tribeca,10/21/2023 0:00,10/21/2023 0:00,customer service,19.8
"Kramer, Veronica","Hoffman, Tina",veronica.kramer@abcfoodmart.com,3/28/2023,ABC Foodmart - DUMBO,10/2/2023 0:00,10/2/2023 0:00,fresh produce,16.12
"Thompson, Matthew","Cooper, Robert",matthew.thompson@abcfoodmart.com,4/22/2022,ABC Foodmart - Bay Ridge,9/5/2022 0:00,9/5/2022 0:00,frozen foods,17.78
"Dodson, Courtney","Farrell, Christopher",courtney.dodson@abcfoodmart.com,1/10/2023,ABC Foodmart - Staten Island,8/10/2023 0:00,8/10/2023 0:00,pharmacy,15.39
"Torres, Steven","Hoffman, Tina",steven.torres@abcfoodmart.com,5/10/2023,ABC Foodmart - DUMBO,9/13/2023 0:00,9/13/2023 0:00,dairy,15.5
"Riley, Ashley","Hoffman, Tina",ashley.riley@abcfoodmart.com,8/17/2022,ABC Foodmart - DUMBO,4/19/2023 0:00,4/19/2023 0:00,customer service,16.91
"Thompson, Matthew","Ellis, Grant",matthew.thompson@abcfoodmart.com,4/22/2022,ABC Foodmart - Tribeca,9/12/2022 0:00,9/12/2022 0:00,dry goods,12.49
"Foster, Kenneth","Hoffman, Tina",kenneth.foster@abcfoodmart.com,4/23/2023,ABC Foodmart - DUMBO,11/29/2023 0:00,11/29/2023 0:00,cashier,17.03
"Waters, Julie","Farrell, Christopher",julie.waters@abcfoodmart.com,5/20/2023,ABC Foodmart - Staten Island,11/10/2023 0:00,11/10/2023 0:00,fresh produce,12.61
"White, Kenneth","Cooper, Robert",kenneth.white@abcfoodmart.com,1/22/2023,ABC Foodmart - Bay Ridge,12/23/2023 0:00,12/23/2023 0:00,bakery,15.69
"Perry, Andrea","Farrell, Christopher",andrea.perry@abcfoodmart.com,5/5/2023,ABC Foodmart - Staten Island,2/29/2024 0:00,2/29/2024 0:00,pharmacy,16.81
"Bryan, Mr.","Cooper, Robert",mr..bryan@abcfoodmart.com,8/26/2023,ABC Foodmart - Bay Ridge,5/11/2024 0:00,5/11/2024 0:00,pharmacy,12.87
"Randolph, Emily","Ellis, Grant",emily.randolph@abcfoodmart.com,3/9/2023,ABC Foodmart - Tribeca,10/29/2023 0:00,10/29/2023 0:00,frozen foods,18.98
"Moon, James","Cooper, Robert",james.moon@abcfoodmart.com,10/20/2023,ABC Foodmart - Bay Ridge,1/2/2024 0:00,1/2/2024 0:00,dry goods,19.61
"Love, Thomas","Cooper, Robert",thomas.love@abcfoodmart.com,2/18/2024,ABC Foodmart - Bay Ridge,8/21/2024 0:00,8/21/2024 0:00,dairy,13.29
"Brown, Lisa","Hoffman, Tina",lisa.brown@abcfoodmart.com,8/18/2022,ABC Foodmart - DUMBO,3/31/2023 0:00,3/31/2023 0:00,seafood,17.39
"Love, Thomas","Flores, Angela",thomas.love@abcfoodmart.com,2/18/2024,ABC Foodmart - Whitestone,9/19/2024 0:00,9/19/2024 0:00,meats,17.97
"Shah, Amanda","Ellis, Grant",amanda.shah@abcfoodmart.com,10/7/2023,ABC Foodmart - Tribeca,5/6/2024 0:00,5/6/2024 0:00,pharmacy,17.91
"Hull, Shane","Hoffman, Tina",shane.hull@abcfoodmart.com,1/9/2024,ABC Foodmart - DUMBO,6/14/2024 0:00,6/14/2024 0:00,cashier,13.08
"Shah, Amanda","Ellis, Grant",amanda.shah@abcfoodmart.com,10/7/2023,ABC Foodmart - Tribeca,5/15/2024 0:00,5/15/2024 0:00,deli,12.25
"Nichols, Brandon","Hoffman, Tina",brandon.nichols@abcfoodmart.com,2/28/2024,ABC Foodmart - DUMBO,9/27/2024 0:00,9/27/2024 0:00,fresh produce,15.65
"Atkinson, Gary","Cooper, Robert",gary.atkinson@abcfoodmart.com,5/24/2022,ABC Foodmart - Bay Ridge,11/28/2022 0:00,11/28/2022 0:00,bakery,14.71
"Moon, James","Hoffman, Tina",james.moon@abcfoodmart.com,10/20/2023,ABC Foodmart - DUMBO,1/13/2024 0:00,1/13/2024 0:00,frozen foods,12.58
"Campbell, Brittany","Cooper, Robert",brittany.campbell@abcfoodmart.com,3/25/2023,ABC Foodmart - Bay Ridge,10/23/2023 0:00,10/23/2023 0:00,seafood,19.53
"Warren, Timothy","Hoffman, Tina",timothy.warren@abcfoodmart.com,12/27/2022,ABC Foodmart - DUMBO,9/6/2023 0:00,9/6/2023 0:00,frozen foods,12.48
"Walls, Kristen","Ellis, Grant",kristen.walls@abcfoodmart.com,2/10/2023,ABC Foodmart - Tribeca,8/20/2023 0:00,8/20/2023 0:00,fresh produce,17.12
"Gardner, Laura","Hoffman, Tina",laura.gardner@abcfoodmart.com,9/4/2023,ABC Foodmart - DUMBO,12/27/2023 0:00,12/27/2023 0:00,frozen foods,14.63
"Eric, Mr.","Cooper, Robert",mr..eric@abcfoodmart.com,9/2/2022,ABC Foodmart - Bay Ridge,2/17/2023 0:00,2/17/2023 0:00,frozen foods,13.44
"Campbell, Bethany","Farrell, Christopher",bethany.campbell@abcfoodmart.com,10/7/2023,ABC Foodmart - Staten Island,1/31/2024 0:00,1/31/2024 0:00,frozen foods,16.69
"Eric, Mr.","Hoffman, Tina",mr..eric@abcfoodmart.com,9/2/2022,ABC Foodmart - DUMBO,3/2/2023 0:00,3/2/2023 0:00,meats,18.97
"Moon, James","Hoffman, Tina",james.moon@abcfoodmart.com,10/20/2023,ABC Foodmart - DUMBO,1/16/2024 0:00,1/16/2024 0:00,frozen foods,19.13
"Horton, Ashley","Ellis, Grant",ashley.horton@abcfoodmart.com,1/24/2024,ABC Foodmart - Tribeca,8/18/2024 0:00,8/18/2024 0:00,cashier,14.01
"Roach, Christine","Farrell, Christopher",christine.roach@abcfoodmart.com,10/15/2023,ABC Foodmart - Staten Island,5/10/2024 0:00,5/10/2024 0:00,deli,12.56
"Conrad, Frederick","Farrell, Christopher",frederick.conrad@abcfoodmart.com,11/24/2023,ABC Foodmart - Staten Island,10/23/2024 0:00,10/23/2024 0:00,dry goods,15.4
"Smith, Diana","Farrell, Christopher",diana.smith@abcfoodmart.com,5/31/2023,ABC Foodmart - Staten Island,11/27/2023 0:00,11/27/2023 0:00,seafood,16.38
"Warren, Timothy","Flores, Angela",timothy.warren@abcfoodmart.com,12/27/2022,ABC Foodmart - Whitestone,9/10/2023 0:00,9/10/2023 0:00,meats,12.09
"Woods, Marcus","Flores, Angela",marcus.woods@abcfoodmart.com,4/1/2024,ABC Foodmart - Whitestone,8/11/2024 0:00,8/11/2024 0:00,seafood,17.75
"Love, Thomas","Hoffman, Tina",thomas.love@abcfoodmart.com,2/18/2024,ABC Foodmart - DUMBO,10/4/2024 0:00,10/4/2024 0:00,dry goods,13.09
"Johnson, Samantha","Hoffman, Tina",samantha.johnson@abcfoodmart.com,1/16/2023,ABC Foodmart - DUMBO,9/15/2023 0:00,9/15/2023 0:00,frozen foods,13.96
"Jones, Christopher","Cooper, Robert",christopher.jones@abcfoodmart.com,5/19/2022,ABC Foodmart - Bay Ridge,1/31/2023 0:00,1/31/2023 0:00,fresh produce,15.88
"Campbell, Bethany","Flores, Angela",bethany.campbell@abcfoodmart.com,10/7/2023,ABC Foodmart - Whitestone,2/10/2024 0:00,2/10/2024 0:00,frozen foods,12
"Sosa, David","Hoffman, Tina",david.sosa@abcfoodmart.com,7/27/2023,ABC Foodmart - DUMBO,1/25/2024 0:00,1/25/2024 0:00,seafood,15.84
"Smith, Brandy","Flores, Angela",brandy.smith@abcfoodmart.com,12/26/2023,ABC Foodmart - Whitestone,7/24/2024 0:00,7/24/2024 0:00,dairy,14.47
"Spears, Erin","Flores, Angela",erin.spears@abcfoodmart.com,7/30/2023,ABC Foodmart - Whitestone,3/30/2024 0:00,3/30/2024 0:00,bakery,13.54
"Nichols, Brandon","Flores, Angela",brandon.nichols@abcfoodmart.com,2/28/2024,ABC Foodmart - Whitestone,10/20/2024 0:00,10/20/2024 0:00,dairy,18.29
"Jacobs, Brenda","Farrell, Christopher",brenda.jacobs@abcfoodmart.com,2/9/2024,ABC Foodmart - Staten Island,9/13/2024 0:00,9/13/2024 0:00,floral,19.32
"Jackson, Gary","Hoffman, Tina",gary.jackson@abcfoodmart.com,9/8/2022,ABC Foodmart - DUMBO,12/6/2022 0:00,12/6/2022 0:00,dairy,17.75
"Blanchard, Ricky","Ellis, Grant",ricky.blanchard@abcfoodmart.com,5/23/2023,ABC Foodmart - Tribeca,9/12/2023 0:00,9/12/2023 0:00,pharmacy,13.61
"Jackson, Michael","Hoffman, Tina",michael.jackson@abcfoodmart.com,10/31/2022,ABC Foodmart - DUMBO,2/24/2023 0:00,2/24/2023 0:00,fresh produce,17.02
"Henderson, Nancy","Ellis, Grant",nancy.henderson@abcfoodmart.com,12/30/2023,ABC Foodmart - Tribeca,6/2/2024 0:00,6/2/2024 0:00,seafood,19.95
"Torres, Steven","Cooper, Robert",steven.torres@abcfoodmart.com,5/10/2023,ABC Foodmart - Bay Ridge,10/4/2023 0:00,10/4/2023 0:00,dry goods,14.69
"Galvan, Lori","Ellis, Grant",lori.galvan@abcfoodmart.com,5/24/2022,ABC Foodmart - Tribeca,9/26/2022 0:00,9/26/2022 0:00,meats,18.11
"Harrell, Angie","Flores, Angela",angie.harrell@abcfoodmart.com,6/1/2023,ABC Foodmart - Whitestone,1/29/2024 0:00,1/29/2024 0:00,meats,19.3
"Thomas, Robert","Farrell, Christopher",robert.thomas@abcfoodmart.com,5/18/2022,ABC Foodmart - Staten Island,12/2/2022 0:00,12/2/2022 0:00,deli,13.85
"Thomas, Robert","Flores, Angela",robert.thomas@abcfoodmart.com,5/18/2022,ABC Foodmart - Whitestone,12/21/2022 0:00,12/21/2022 0:00,pharmacy,19.44
"Williams, Michael","Flores, Angela",michael.williams@abcfoodmart.com,6/11/2023,ABC Foodmart - Whitestone,12/26/2023 0:00,12/26/2023 0:00,dairy,17.41
"Moyer, Steven","Farrell, Christopher",steven.moyer@abcfoodmart.com,12/26/2022,ABC Foodmart - Staten Island,2/18/2023 0:00,2/18/2023 0:00,pharmacy,17.95
"Moon, James","Cooper, Robert",james.moon@abcfoodmart.com,10/20/2023,ABC Foodmart - Bay Ridge,1/30/2024 0:00,1/30/2024 0:00,floral,18.13
"Gross, Andrew","Hoffman, Tina",andrew.gross@abcfoodmart.com,4/30/2022,ABC Foodmart - DUMBO,11/7/2022 0:00,11/7/2022 0:00,seafood,14.92
